Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
CMIST,COD0911,Woods Hole the Strait,41.51929,-70.68289,0,-10,0,-,s,deg,s,deg,s,W/m,s,m,-,6.4,-
Velocity (m/s),Probability Distribution (%),,,,,,,,,,,,,,,,,,
0,0.009,,,,,,,,,,,,,,,,,,
0.1,0.031,,,,,,,,,,,,,,,,,,
0.2,0.042,,,,,,,,,,,,,,,,,,
0.3,0.044,,,,,,,,,,,,,,,,,,
0.4,0.048,,,,,,,,,,,,,,,,,,
0.5,0.049,,,,,,,,,,,,,,,,,,
0.6,0.053,,,,,,,,,,,,,,,,,,
0.7,0.051,,,,,,,,,,,,,,,,,,
0.8,0.052,,,,,,,,,,,,,,,,,,
0.9,0.056,,,,,,,,,,,,,,,,,,
1,0.05,,,,,,,,,,,,,,,,,,
1.1,0.052,,,,,,,,,,,,,,,,,,
1.2,0.05,,,,,,,,,,,,,,,,,,
1.3,0.048,,,,,,,,,,,,,,,,,,
1.4,0.047,,,,,,,,,,,,,,,,,,
1.5,0.043,,,,,,,,,,,,,,,,,,
1.6,0.042,,,,,,,,,,,,,,,,,,
1.7,0.04,,,,,,,,,,,,,,,,,,
1.8,0.034,,,,,,,,,,,,,,,,,,
1.9,0.031,,,,,,,,,,,,,,,,,,
2,0.026,,,,,,,,,,,,,,,,,,
2.1,0.023,,,,,,,,,,,,,,,,,,
2.2,0.02,,,,,,,,,,,,,,,,,,
2.3,0.016,,,,,,,,,,,,,,,,,,
2.4,0.013,,,,,,,,,,,,,,,,,,
2.5,0.011,,,,,,,,,,,,,,,,,,
2.6,0.007,,,,,,,,,,,,,,,,,,
2.7,0.005,,,,,,,,,,,,,,,,,,
2.8,0.004,,,,,,,,,,,,,,,,,,
2.9,0.002,,,,,,,,,,,,,,,,,,
3,0.001,,,,,,,,,,,,,,,,,,
3.1,0,,,,,,,,,,,,,,,,,,
3.2,0,,,,,,,,,,,,,,,,,,
3.3,0,,,,,,,,,,,,,,,,,,
